src_page,dest_page
9637767,10237267
9637767,10237247
9637767,10233014
9637767,10233009
9637767,10233007
9637767,10232987
9637767,10229526
9637767,10228313
9637767,10228106
9637767,10228057
9637767,10227325
9637767,10226008
9637767,10222589
9637767,10222017
9637767,10220168
9637767,10219946
9637767,10214992
9637767,10214779
9637767,10214656
9637767,10214235
9637767,10212365
9637767,10212348
9637767,10207260
9637767,10207092
9637767,10202763
9637767,10199788
9637767,10198512
9637767,10189854
9637767,10186423
9637767,10184515
9637767,10182581
9637767,10182562
9637767,10180708
9637767,10180652
9637767,10177047
9637767,10167155
9637767,10164323
9637767,10163959
9637767,10158560
9637767,10158547
9637767,10151266
9637767,10151250
9637767,10148999
9637767,10148957
9637767,10146950
9637767,10146886
9637767,10131804
9637767,10131795
9637767,10128242
9637767,10128225
9637767,10114848
9637767,10111109
9637767,10098357
9637767,10098199
9637767,10098034
9637767,10097166
9637767,10091334
9637767,10083722
9637767,10080769
9637767,10080756
9637767,10077533
9637767,10075093
9637767,10065161
9637767,10062301
9637767,10062149
9637767,10049588
9637767,10047774
9637767,10047720
9637767,10046900
9637767,10039049
9637767,10038875
9637767,10031356
9637767,10025275
9637767,10025269
9637767,10024984
9637767,10024967
9637767,10018280
9637767,10018266
9637767,10018215
9637767,9998383
9637767,9997315
9637767,9996808
9637767,9991841
9637767,9990379
9637767,9989916
9637767,9989600
9637767,9981499
9637767,9968890
9637767,9867750
9637767,9866796
9637767,9755982
9637767,9642384
4300784,5173998
2847409,4313094
2561500,2917246
3615794,4276495
5015561,5168665
4276961,5483013
4276961,5483002
4276961,5482978
4276961,5482971
2847412,4313094
2847412,4087523
2758067,9899445
4276964,5483013
4276964,5483002
4276964,5482978
4276964,5482971
2555544,8166652
4586703,5971311
3246502,4087523
4276969,5483013
4276969,5483002
4276969,5482978
4276969,5482971
10030905,10052696
4288883,5179221
3061852,5170108
3061852,4276495
2924854,5221171
3258420,4072500
2525777,5170108
2525777,5102359
2525777,2917245
3139292,4093708
3139292,4070083
83624,1301429
83624,252702
452919,2036941
2930817,5181712
4276976,5483013
4276976,5483002
4276976,5482978
4276976,5482971
578018,3210521
2829559,3172753
2817649,3172805
4276981,5483013
4276981,5483002
4276981,5482978
4276981,5482971
2924867,3818692
2585346,3933868
2585346,3907600
2906997,3818719
2906997,3818714
2906997,3818712
2906997,3818709
2906997,3818699
2906997,3818692
524415,3106549
2758087,9899445
351668,1301429
351668,553375
309969,1346689
309969,1343285
309969,1343283
309969,1301429
3049957,5181712
3049957,3352790
3049957,3352761
4276987,5483013
4276987,5483002
4276987,5482978
4276987,5482971
3109523,5168543
2907005,3818719
2907005,3818714
2907005,3818712
2907005,3818709
2907005,3818699
2907005,3818692
4276991,5483013
4276991,5483002
4276991,5482978
4276991,5482971
4062559,4421441
4062559,4134584
2680663,3169360
6040104,9883497
3109529,5168543
3061878,5170108
613776,1184956
8208256,9637767
3836220,4087523
3621788,3828891
2960620,4313139
2960624,4313139
2567498,5182744
2567498,2698922
3645618,4912227
3645618,4084927
244482,1342892
244482,547960
244482,2716791
244482,273094
2930844,5181712
2930844,3818709
4277004,5483013
4277004,5483002
4277004,5482978
4277004,5482971
3258451,4313139
3258451,4087523
2722368,9848394
4890522,6040104
4294877,5179124
3615842,4276503
3049979,5181578
3049979,3352790
3049979,3352761
3061892,5170108
3061892,3730910
2507942,5170108
2507942,3730910
2507942,2917245
214707,1301429
214707,1184956
214707,273094
214707,7480364
1292825,4075832
1292825,4066349
1292825,3987101
1292825,3907600
1292825,2983714
1292825,2843734
1292825,2838482
1292825,2623759
1292825,2493360
3645626,4084927
5533823,6643879
4277012,5483013
4277012,5483002
4277012,5482978
4277012,5482971
3109546,5168543
77712,81252
2930854,5181712
4259146,4313139
2847462,5168665
2960642,4313139
2680688,3172753
4259150,4313139
4259151,4313139
3109555,5168543
2847472,5168665
3073820,3095759
3645640,4912227
578066,3210634
578066,3329241
578066,3040526
578066,3038350
2525825,5170108
2525825,2917245
3109561,5168543
7975986,10158207
7975986,9637767
4277028,5483013
4277028,5483002
4277028,5482978
4277028,5482971
2847479,5168665
3061912,5170108
3061912,4276495
3049999,3352790
3049999,3352761
3109566,5168543
2972564,5130271
3740951,10275709
2680694,3095797
2680694,3095765
2680694,3095759
2680694,3095737
2680694,3095713
4122165,4912227
3621824,4070083
2847485,5168665
4122167,4912227
3109570,5168543
4342557,5971311
3335916,5407855
2531796,3730910
4122170,4912227
232606,553375
4122172,4912227
518513,9899445
3729050,8166652
2847495,5168665
4580824,4633856
2549669,8166652
3061924,5170108
2847501,5168665
2847503,5168665
2049335,4703971
4425967,4633856
4580835,4633856
792523,1301429
792523,1184956
3061940,5170108
3592067,3818709
2847509,5168665
5420700,5757914
5420700,5680787
3782675,4592306
3782675,4591224
3782675,4588212
3782675,4587526
9578306,10226646
4277064,5483013
4277064,5483002
4277064,5482978
4277064,5482971
2371000,3730910
4425977,4633856
6677517,8166652
4259197,4313139
3329991,5407855
4277068,5483013
4277068,5483002
4277068,5482978
4277068,5482971
4277068,5179124
4259199,4313139
6367784,10033006
2847520,5168665
3592078,5182744
3592078,3818714
4425982,5757914
30118,8166652
30118,1345297
30118,1345294
30118,1345292
30118,183790
30118,43588
30118,37245
30118,31728
3139388,3818714
3139388,3818712
4277072,5483013
4277072,5483002
4277072,5482978
4277072,5482971
10031009,10052696
4277075,5483013
4277075,5483002
4277075,5482978
4277075,5482971
2680719,3095863
2680719,3095842
4277077,5483013
4277077,5483002
4277077,5482978
4277077,5482971
2627138,3169416
2627138,3169400
2627138,3169395
2627138,3169382
2627138,3169360
2627138,3169344
649595,5136339
649595,5133209
649595,5122949
649595,4022809
649595,3846107
649595,3612780
649595,3249652
3592086,4276495
905720,1301429
3252547,3355166
2817717,4630368
2817717,4844896
59911,273094
905728,1184956
59907,1301429
2758186,9899445
2758186,3095737
5843630,9847532
4277083,5483013
4277083,5483002
4277083,5482978
4277083,5482971
4277086,5483013
4277086,5483002
4277086,5482978
4277086,5482971
4592778,5183072
8166652,8734032
8166652,8490229
4277089,5483013
4277089,5483002
4277089,5482978
4277089,5482971
2484196,9848394
2627152,3169416
2627152,3169400
2627152,3169395
2627152,3169382
2627152,3169360
2627152,3169344
4277092,5483013
4277092,5483002
4277092,5482978
4277092,5482971
518566,3095800
518566,3095797
518566,3095792
518566,3095765
518566,3095759
518566,3095745
518566,3095737
518566,3095728
518566,3095713
3073889,3169486
3073889,3169477
3073889,3169470
3073889,3169457
2758198,9899445
101620,522695
101620,145046
125405,2348716
4277097,5483013
4277097,5483002
4277097,5482978
4277097,5482971
2680733,5313322
560269,8166652
560269,1345297
560269,1345294
560269,1345292
4348575,5550938
2930941,5181712
3079853,4070083
2650987,5168543
5444567,5680787
4306885,6040104
4277103,5483013
4277103,5483002
4277103,5482978
4277103,5482971
2758208,3730910
2627167,5168543
2627167,3169416
2627167,3169400
2627167,3169395
2627167,3169382
2627167,3169360
2627167,3169344
3079858,3095863
3079858,3095842
3693374,6253816
4277110,5483013
4277110,5483002
4277110,5482978
4277110,5482971
4414110,4633856
4277112,5483013
4277112,5483002
4277112,5482978
4277112,5482971
2627176,3169416
2627176,3169400
2627176,3169395
2627176,3169382
2627176,3169360
2627176,3169344
3252605,3355166
3079868,3095863
3079868,3095842
2484222,9848394
10025095,10052696
548376,1346689
548376,1301429
2930960,5181712
4277119,5483013
4277119,5483002
4277119,5482978
4277119,5482971
2728442,5182744
2514012,2917246
4759596,6244152
9250763,9999028
3330049,4313094
3330049,4087523
3079878,3095863
3079878,3095842
3490874,3730910
709211,3154229
709211,1381481
2651015,3169640
3592138,5168897
310132,1301429
310132,552113
396,31728
396,29092
4592824,5024383
4592824,5024318
4592824,5024216
4592824,5022549
4592824,5022518
4592824,5021571
4592824,4685087
4592824,4602907
4289045,5179124
3568316,4070083
3592141,3818699
3079886,3095863
3079886,3095842
2972666,3730910
89747,273094
2627196,3169416
2627196,3169400
2627196,3169395
2627196,3169382
2627196,3169360
2627196,3169344
12311,1301429
12311,189853
12311,73989
12311,63611
12311,31728
6498893,8171104
2930978,5181712
2627201,3169416
2627201,3169400
2627201,3169395
2627201,3169382
2627201,3169360
2627201,3169344
2543811,5168897
2543811,4067692
2543811,3730910
2543811,3172757
518616,3095863
518616,3095842
2680814,5168543
2651032,3169457
2651032,3169344
3079897,3095863
3079897,3095842
2972681,9522599
2972681,4434370
5426742,5680787
3562373,3818722
3079903,3095863
3079903,3095842
393540,1301429
393540,554049
1900526,3169640
4348631,5407855
3246693,4276488
3246693,4276472
3246693,4276454
3246693,4087523
2931001,5181712
2931001,5181578
3264563,5179221
3264563,5179124
1292979,4074255
1292979,4056509
1292979,4054711
1292979,4047565
1292979,3907600
1292979,2899786
1292979,1707599
4348642,4434370
3264567,5179221
3264567,5179124
3079917,3095863
