src_id,src_community,dest_id,dest_community
81334,0,189853,0
81334,0,731823,0
81334,0,758575,0
81334,0,775832,4
81334,0,82876,0
8143605,0,8676071,0
817795,4,1386401,4
817795,4,849972,4
817795,4,884788,4
81825,0,1301429,0
81825,0,189853,0
81825,0,731823,0
81825,0,758575,0
81825,0,82876,0
81825,0,86034,4
8183957,15,9453088,15
8187231,0,8694730,0
8190012,15,10179842,15
819650,0,1348261,0
8205261,15,10179842,15
8205909,15,10179842,15
820682,0,1343441,0
820682,0,1348698,0
821,0,1351337,0
821,0,188295,0
821,0,32115,3
821,0,358515,0
821,0,731823,0
821,0,75342,0
821,0,758575,0
821,0,82317,0
821,0,82876,0
821,0,839679,0
821,0,908417,0
821129,0,839679,0
821997,15,1362039,15
821997,15,3128299,15
822714,0,1345519,0
822911,3,1532902,22
8230624,15,10179842,15
82317,0,10491466,3
82317,0,108268,12
82317,0,1218220,0
82317,0,1278315,14
82317,0,130954,22
82317,0,1473966,0
82317,0,158109,0
82317,0,1685853,0
82317,0,1820978,0
82317,0,2728980,0
82317,0,604247,0
82317,0,6542037,0
82317,0,731823,0
82317,0,732343,0
82317,0,7584191,0
82317,0,758575,0
82317,0,82876,0
82317,0,92620,0
823472,3,1353596,14
823472,3,2807873,3
823472,3,4844384,3
823472,3,4844568,3
823472,3,4845096,3
823472,3,5458052,3
823472,3,7867400,3
823498,0,1343441,0
823498,0,1347806,0
823498,0,1362039,15
823498,0,1882250,14
823655,4,1353596,14
8247894,3,8728563,3
82706,30,1362039,15
82706,30,1550662,30
82706,30,175970,3
8272431,15,10179842,15
827323,0,1343035,0
827323,0,3570553,0
827428,0,1380033,0
827428,0,4843992,3
82747,22,1345294,22
82747,22,1345519,0
82747,22,1347597,22
82747,22,175970,3
82747,22,731823,0
82747,22,82876,0
82747,22,839679,0
828055,14,1362039,15
828055,14,3385193,14
82820,0,2131015,0
82820,0,731823,0
82820,0,82876,0
82820,0,839679,0
82876,0,10000901,0
82876,0,10003530,0
82876,0,10006512,0
82876,0,10007989,0
82876,0,10008448,0
82876,0,1000868,3
82876,0,10010848,3
82876,0,10011269,0
82876,0,10011717,0
82876,0,10012313,0
82876,0,1001263,20
82876,0,10018925,0
82876,0,10019224,0
82876,0,10019763,0
82876,0,100200,3
82876,0,10020758,0
82876,0,10021537,0
82876,0,10021662,3
82876,0,100243,0
82876,0,10025861,0
82876,0,10026763,0
82876,0,10027552,3
82876,0,10031516,0
82876,0,10031901,0
82876,0,10034292,3
82876,0,10036697,22
82876,0,10036894,0
82876,0,10038178,0
82876,0,10045776,3
82876,0,10046638,3
82876,0,10048190,3
82876,0,10048314,0
82876,0,10050887,3
82876,0,10051553,0
82876,0,10053038,0
82876,0,10053085,1
82876,0,10053251,3
82876,0,10053936,3
82876,0,10054043,3
82876,0,10059024,0
82876,0,10059062,22
82876,0,10059994,21
82876,0,10063707,0
82876,0,10065062,3
82876,0,10066214,0
82876,0,100665,0
82876,0,10066831,0
82876,0,10067043,0
82876,0,10068182,3
82876,0,10068372,0
82876,0,10068686,0
82876,0,10069331,3
82876,0,10069346,3
82876,0,10069352,3
82876,0,10069369,3
82876,0,10069389,3
82876,0,10069400,3
82876,0,10069401,3
82876,0,10069403,4
82876,0,10069404,14
82876,0,10069405,3
82876,0,10069414,3
82876,0,10069431,3
82876,0,10069439,3
82876,0,10069453,3
82876,0,10069454,3
82876,0,10069457,0
82876,0,10069474,3
82876,0,10069475,3
82876,0,10069484,3
82876,0,10069485,3
82876,0,10069731,0
82876,0,10070087,0
82876,0,10070100,3
82876,0,10072810,0
82876,0,10073948,0
82876,0,10074333,3
82876,0,10074346,3
82876,0,10074662,0
82876,0,10075368,0
82876,0,10075493,0
82876,0,10079276,3
82876,0,10081758,0
82876,0,10082112,3
82876,0,10082243,0
82876,0,10084282,0
82876,0,10086209,0
82876,0,10086870,0
82876,0,10087382,3
82876,0,10087415,3
82876,0,10087457,3
82876,0,10087472,3
82876,0,10087480,3
82876,0,10089673,0
82876,0,10094690,0
82876,0,10094780,3
82876,0,10094981,3
82876,0,10094993,3
82876,0,10096895,0
82876,0,10097585,4
82876,0,1009897,0
82876,0,10099895,0
82876,0,10100063,0
82876,0,10102620,0
82876,0,10103612,0
82876,0,10103979,3
82876,0,1010517,0
82876,0,10106229,0
82876,0,10109433,0
82876,0,10110031,3
82876,0,10111324,0
82876,0,10112515,22
82876,0,101172,0
82876,0,10120592,3
82876,0,10121124,20
82876,0,10124470,3
82876,0,10126708,3
82876,0,10129855,1
82876,0,10131158,0
82876,0,10133091,0
82876,0,10133431,0
82876,0,10142519,3
82876,0,10143094,22
82876,0,10144720,15
82876,0,10145980,22
82876,0,10147694,3
82876,0,1014954,0
82876,0,10150980,0
82876,0,10151789,3
82876,0,10151861,3
82876,0,10152070,3
82876,0,10155408,3
82876,0,10161522,0
82876,0,10164258,0
82876,0,10165529,0
82876,0,1016783,4
82876,0,10168469,22
82876,0,10169723,0
82876,0,10170734,0
82876,0,10171162,3
82876,0,10172191,22
82876,0,10172196,22
82876,0,10173065,0
82876,0,1017314,0
82876,0,10182191,3
82876,0,10183414,4
82876,0,10186004,3
82876,0,10187252,0
82876,0,10187618,0
82876,0,10188590,0
82876,0,10188702,0
82876,0,10188723,0
82876,0,10188766,0
82876,0,10188894,3
82876,0,10189347,0
82876,0,10191991,0
82876,0,10192817,0
82876,0,10193770,0
82876,0,10194324,0
82876,0,10196088,3
82876,0,10196672,0
82876,0,10196928,0
82876,0,10197798,21
82876,0,10200207,0
82876,0,10202980,3
82876,0,10205470,0
82876,0,10209433,0
82876,0,10209820,0
82876,0,10210886,22
82876,0,10212066,0
82876,0,10213106,3
82876,0,10214422,0
82876,0,102147,22
82876,0,102161,0
82876,0,10216201,0
82876,0,102187,3
82876,0,10219146,20
82876,0,10219484,3
82876,0,10219990,0
82876,0,10220703,0
82876,0,10220932,3
82876,0,10222579,0
82876,0,10223633,0
82876,0,10224403,0
82876,0,10224628,3
82876,0,10225480,0
82876,0,102263,0
82876,0,10226403,3
82876,0,10227085,0
82876,0,10228366,0
82876,0,10234220,0
82876,0,10235310,3
82876,0,10236236,0
82876,0,10238007,0
82876,0,10238653,3
82876,0,10241772,0
82876,0,10242689,3
82876,0,10244219,3
82876,0,10245469,0
82876,0,10245896,3
82876,0,10246192,1
82876,0,10249350,0
82876,0,10250548,0
82876,0,10253279,3
82876,0,10256032,3
82876,0,10256336,1
82876,0,10256578,0
82876,0,10257907,0
82876,0,10259146,0
82876,0,10259390,3
82876,0,10261346,0
82876,0,10261980,0
82876,0,10262338,0
82876,0,10262990,0
82876,0,10263625,0
82876,0,10263694,0
82876,0,10265307,0
82876,0,10265613,3
82876,0,10265615,0
82876,0,10265616,0
82876,0,10265620,3
82876,0,10265630,3
82876,0,10265657,3
82876,0,10265674,3
82876,0,10265676,0
82876,0,10265681,3
82876,0,10265689,0
82876,0,10265692,1
82876,0,10265720,3
82876,0,10265726,3
82876,0,10265727,3
82876,0,10265736,3
82876,0,10265786,3
82876,0,10265791,0
82876,0,10265811,3
82876,0,10265825,0
82876,0,10265912,0
82876,0,10265937,0
82876,0,10265942,3
82876,0,10265947,3
82876,0,10265969,3
82876,0,10265981,0
82876,0,10265995,3
82876,0,10265997,3
82876,0,10266830,0
82876,0,10267420,0
82876,0,10276620,3
82876,0,10277792,3
82876,0,10279789,3
82876,0,10285901,0
82876,0,10286451,0
82876,0,10287740,22
82876,0,10288017,3
82876,0,10288284,21
82876,0,10294878,0
82876,0,10294900,0
82876,0,10295642,0
82876,0,10295905,0
82876,0,10296370,3
82876,0,10298423,0
82876,0,10298926,0
82876,0,10300944,3
82876,0,10301138,3
82876,0,10305597,3
82876,0,10307617,0
82876,0,10308552,3
82876,0,10308568,3
82876,0,10308623,3
